ID_log,Question_ID,Category,Answer,Old Q-Value,New Q-Value
1393,1393,Data Structures,Incorrect,0,0.5
2579,2579,Sorting,Incorrect,0,0.545
1821,1821,Sorting,Incorrect,0.545,1.5395500000000002
2221,2221,Sorting,Incorrect,1.5395500000000002,2.5241545000000003
577,577,Syntax,Incorrect,0,0.7271739050000001
2386,2386,Sorting,Incorrect,2.5241545000000003,3.4989129550000007
2384,2384,Sorting,Incorrect,3.4989129550000007,4.463923825450001
2365,2365,Data Structures,Incorrect,0.5,1.8517531442905002
2569,2569,Sorting,Incorrect,4.463923825450001,5.419284587195501
2635,2635,Scientific Computing,Incorrect,0,0.9877356128475953
972,972,Sorting,Incorrect,5.419284587195501,6.365091741323546
1259,1259,Syntax,Incorrect,0.7271739050000001,2.2273147712191195
2007,2007,Sorting,Incorrect,6.365091741323546,7.301440823910311
2,2,Sorting,Incorrect,7.301440823910311,8.228426415671208
496,496,Sorting,Incorrect,8.228426415671208,9.146142151514496
1636,1636,Sorting,Incorrect,9.146142151514496,10.054680729999351
1636,1636,Sorting,Incorrect,10.054680729999351,10.954133922699357
2374,2374,Sorting,Incorrect,10.954133922699357,11.844592583472364
296,296,Sorting,Incorrect,11.844592583472364,12.72614665763764
2586,2586,Sorting,Incorrect,12.72614665763764,13.598885191061264
2586,2586,Sorting,Incorrect,13.598885191061264,14.462896339150651
1316,1316,Syntax,Incorrect,2.2273147712191195,4.306243964620766
904,904,Sorting,Incorrect,14.462896339150651,15.318267375759145
2248,2248,Sorting,Incorrect,15.318267375759145,16.165084702001554
2416,2416,Sorting,Incorrect,16.165084702001554,17.003433854981537
2468,2468,Sorting,Incorrect,17.003433854981537,17.833399516431722
2468,2468,Sorting,Incorrect,17.833399516431722,18.655065521267407
195,195,Scientific Computing,Incorrect,0.9877356128475953,3.567917948476903
388,388,Sorting,Incorrect,18.655065521267407,19.468514866054733
2595,2595,Sorting,Incorrect,19.468514866054733,20.273829717394186
2593,2593,Sorting,Incorrect,20.273829717394186,21.071091420220245
1302,1302,Sorting,Incorrect,21.071091420220245,21.860380506018043
36,36,Sorting,Incorrect,21.860380506018043,22.641776700957863
